# {"t_start": 1618171197.100356, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-47.0,50,3607.546172
-49.0,50,3612.869432
-9.0,50,3618.732539
-50.0,50,3623.859919
-50.0,50,3628.501358
0.0,50,3633.109046
-50.0,50,3637.653481
-50.0,50,3642.075415
-50.0,50,3647.078637
-50.0,50,3651.456194
-50.0,50,3656.099706
-14.0,50,3660.312027
-39.0,50,3664.512927
-31.0,50,3669.141255
-50.0,50,3674.016495
-36.0,50,3679.444201
-50.0,50,3683.958211
-50.0,50,3688.416848
-17.0,50,3693.078547
-50.0,50,3697.646181
-50.0,50,3701.960501
-50.0,50,3706.592225
-50.0,50,3711.10937
-23.0,50,3715.618459
-46.0,50,3720.949164
-50.0,50,3726.840396
-50.0,50,3731.386852
-50.0,50,3735.871423
-50.0,50,3740.515717
-50.0,50,3745.026331
-50.0,50,3749.368526
-50.0,50,3753.86733
-50.0,50,3758.194735
-50.0,50,3762.533617
-15.0,50,3767.101946
-50.0,50,3767.632105
-50.0,50,3768.047947
-18.0,50,3768.584617
-50.0,50,3768.986052
-50.0,50,3769.433031
-50.0,50,3769.832147
-50.0,50,3770.426649
-50.0,50,3770.813372
-19.0,50,3771.192753
-50.0,50,3771.605297
-50.0,50,3776.069761
0.0,50,3781.253988
-50.0,50,3786.113077
-50.0,50,3790.543008
-50.0,50,3794.938097
-50.0,50,3799.635016
-49.0,50,3803.949482
-50.0,50,3808.443304
-50.0,50,3813.864701
-50.0,50,3818.757995
-50.0,50,3823.208028
-50.0,50,3828.092846
-47.0,50,3833.073824
-14.0,50,3837.781829
-49.0,50,3842.146824
-49.0,50,3847.664934
-50.0,50,3852.958159
-50.0,50,3857.869816
-50.0,50,3862.271554
-16.0,50,3866.965631
-50.0,50,3872.019142
-50.0,50,3877.050837
-50.0,50,3881.909946
-50.0,50,3886.550798
-50.0,50,3891.277406
-50.0,50,3895.788626
-50.0,50,3900.335208
-50.0,50,3904.788301
-50.0,50,3909.347117
-50.0,50,3913.713218
-50.0,50,3918.173282
-50.0,50,3922.508976
-49.0,50,3926.918172
-50.0,50,3931.002382
-50.0,50,3935.407018
-50.0,50,3939.537155
-50.0,50,3943.803141
-50.0,50,3948.394321
-50.0,50,3952.666426
-47.0,50,3956.783263
-10.0,50,3961.271979
-50.0,50,3965.690216
-50.0,50,3970.102248
-50.0,50,3974.762803
-17.0,50,3979.548528
-50.0,50,3983.959863
-13.0,50,3988.369099
-45.0,50,3992.737415
-50.0,50,3997.131391
-8.0,50,4001.305664
-50.0,50,4001.695739
-50.0,50,4002.136785
-50.0,50,4002.560185
-50.0,50,4002.934784
-50.0,50,4003.509547
-50.0,50,4003.909724
-50.0,50,4004.367708
-50.0,50,4004.80205
-50.0,50,4005.192877
-23.0,50,4005.951576
-50.0,50,4010.458062
-43.0,50,4014.851651
-48.0,50,4019.197618
0.0,50,4023.573519
-50.0,50,4028.131157
-50.0,50,4032.722707
0.0,50,4036.980503
-37.0,50,4041.391158
-9.0,50,4046.06424
-48.0,50,4050.389631
-25.0,50,4054.774222
-34.0,50,4058.964476
-47.0,50,4063.454122
-50.0,50,4068.462477
-42.0,50,4072.511545
0.0,50,4076.690043
-42.0,50,4081.145278
-50.0,50,4085.884508
-37.0,50,4090.289601
-46.0,50,4094.311355
-48.0,50,4098.36007
-50.0,50,4102.919159
-27.0,50,4107.236186
-43.0,50,4111.497446
-50.0,50,4115.861305
-45.0,50,4120.212462
-50.0,50,4124.078507
-50.0,50,4128.174086
-50.0,50,4132.605228
-35.0,50,4136.891401
-50.0,50,4141.581013
-50.0,50,4145.854643
-50.0,50,4150.878778
-50.0,50,4155.19093
-45.0,50,4159.539976
-50.0,50,4164.879905
-34.0,50,4169.192723
-50.0,50,4173.863522
-23.0,50,4178.261003
-50.0,50,4182.585121
-46.0,50,4187.212826
-50.0,50,4191.661768
-26.0,50,4196.312665
-19.0,50,4200.595259
-50.0,50,4205.093182
-50.0,50,4209.600509
-50.0,50,4213.920752
-50.0,50,4218.610327
-50.0,50,4223.156397
-50.0,50,4227.49494
-50.0,50,4227.941464
-50.0,50,4228.324038
-11.0,50,4228.930791
-48.0,50,4229.292529
-50.0,50,4229.73862
-50.0,50,4230.131439
-17.0,50,4230.597731
0.0,50,4231.066471
-50.0,50,4231.417643
-50.0,50,4232.057126
-50.0,50,4236.527572
-33.0,50,4240.67603
-50.0,50,4245.052783
-50.0,50,4249.156072
-46.0,50,4253.679737
-50.0,50,4258.141345
-50.0,50,4262.464659
-27.0,50,4266.681001
-50.0,50,4271.060332
-17.0,50,4274.929518
-50.0,50,4279.201026
-50.0,50,4283.26137
-50.0,50,4287.557612
-9.0,50,4291.400613
-50.0,50,4295.417321
-50.0,50,4299.637227
0.0,50,4303.723985
-50.0,50,4308.048527
-50.0,50,4312.201661
-50.0,50,4316.534804
-50.0,50,4320.430878
